n,l,g,energy,pde_loss,epochs,time,param_file,wf_file
1,0,0.025,-0.9509232640266418,2.052131122809442e-07,13500,11.090092897415161,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509215354919434,1.4502016938422457e-06,8800,6.816265821456909,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509238600730896,2.0033843384226202e-07,12600,9.809462070465088,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509233236312866,3.92354877476464e-07,12100,9.548411130905151,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509230256080627,3.2321651133315754e-07,13700,10.640013933181763,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509215354919434,4.052898475492839e-06,4500,3.4813339710235596,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509233236312866,2.4785944674476923e-07,15300,12.595897197723389,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509239196777344,8.168379963535699e-07,7900,6.917890787124634,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.950923502445221,4.537870950116485e-07,11100,8.883373022079468,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.950923502445221,1.627453002583934e-06,6400,5.13954496383667,state_n_1_l_0.pt,wf_n_1_l_0.npy
2,0,0.025,-0.2035485804080963,5.321634333199654e-08,44700,34.727500200271606,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,0.025,-0.2035476267337799,5.069845698812969e-08,30100,24.649476051330566,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,0.025,-0.20354805886745453,5.176522321903576e-08,37600,29.577088117599487,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,0.025,-0.20354868471622467,5.092645949389407e-08,37900,30.381962060928345,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,0.025,-0.20354780554771423,5.1084786178989816e-08,35000,28.697525024414062,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,0.025,-0.20354874432086945,5.9079930281313864e-08,46200,36.78283905982971,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,0.025,-0.20354734361171722,5.034239336509927e-08,34900,28.235246181488037,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,0.025,-0.20354798436164856,5.1145566004606735e-08,29800,23.166581869125366,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,0.025,-0.2035488486289978,5.560523064218614e-08,47600,38.01752686500549,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,0,0.025,-0.2035476565361023,5.124319457650017e-08,36900,28.537734985351562,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,1,0.025,-0.20297998189926147,6.105429406488838e-08,71500,60.05273222923279,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,0.025,-0.20297664403915405,2.1895736779242725e-07,86600,68.13045406341553,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,0.025,-0.20297802984714508,1.4629607392180333e-07,90500,75.66153907775879,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,0.025,-0.20297837257385254,1.0569527830739389e-07,94100,77.54710507392883,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,0.025,-0.202979177236557,9.009976764673411e-08,85400,71.8138370513916,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,0.025,-0.20297902822494507,8.707588250445042e-08,81600,63.5411159992218,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,0.025,-0.20297838747501373,7.165030524447502e-08,82400,67.93471384048462,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,0.025,-0.20297758281230927,1.1690852375068062e-07,89600,70.96922612190247,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,0.025,-0.20297762751579285,1.805006206723192e-07,84700,66.97616910934448,state_n_2_l_1.pt,wf_n_2_l_1.npy
2,1,0.025,-0.20297816395759583,8.459847578023982e-08,91800,72.95145273208618,state_n_2_l_1.pt,wf_n_2_l_1.npy
