n,l,energy,pde_loss,norm_loss,ortho_loss
3,1,-0.052352067,0.000081848,0.717812955,0.040326625
3,1,-0.064347647,0.000064009,0.090166062,0.125567302
3,1,-0.079813264,0.000090440,1.591114283,0.841259301
3,1,-0.068956308,0.000070008,0.017934235,0.259307563
3,1,-0.051911648,0.000067078,0.254518598,0.014464797
3,1,-0.051872078,0.000084446,0.491915107,0.031371590
3,1,-0.080260627,0.000108329,0.462420195,0.170393169
3,1,-0.102481358,0.000125560,0.292510509,0.377495527
3,1,-0.112147100,0.000139276,0.111369736,0.621304452
3,1,-0.115722932,0.000150736,0.014038110,0.851898253
3,1,-0.116843849,0.000157509,0.000422328,0.994623542
3,1,-0.116866045,0.000157492,0.000578930,0.997979581
3,1,-0.115965828,0.000151651,0.008125024,0.880183697
3,1,-0.113615572,0.000142865,0.065294668,0.703285396
3,1,-0.108902104,0.000133523,0.170706868,0.523448110
3,1,-0.100971431,0.000124497,0.285785258,0.369661003
3,1,-0.089697540,0.000115494,0.377721220,0.248605117
3,1,-0.076293081,0.000105933,0.431916833,0.156409025
3,1,-0.063285716,0.000095653,0.443920672,0.086972229
3,1,-0.053654473,0.000085244,0.410316467,0.036444116
3,1,-0.049481466,0.000076009,0.326398849,0.005927355
3,1,-0.050705582,0.000069517,0.196340814,0.002606342
3,1,-0.055141386,0.000066815,0.058925096,0.036447100
3,1,-0.060032278,0.000067747,0.000262790,0.107559182
3,1,-0.063379429,0.000070450,0.066752799,0.185810268
3,1,-0.064207822,0.000071881,0.130932674,0.214898750
3,1,-0.062489953,0.000070744,0.077858590,0.172461718
3,1,-0.058959477,0.000068888,0.007749760,0.096908011
3,1,-0.054976694,0.000068799,0.011104718,0.035524368
3,1,-0.052089807,0.000071309,0.060323626,0.005656077
3,1,-0.051021129,0.000075440,0.106443897,0.000199199
3,1,-0.051262561,0.000079556,0.130058274,0.005638721
3,1,-0.051827259,0.000082426,0.131418571,0.011683811
3,1,-0.052077230,0.000083529,0.115620211,0.013262224
3,1,-0.051941864,0.000082924,0.087413117,0.009798209
3,1,-0.051730715,0.000081090,0.052181259,0.003977550
3,1,-0.051815089,0.000078791,0.018943228,0.000159663
3,1,-0.052334104,0.000076832,0.000797991,0.001949062
3,1,-0.053081691,0.000075718,0.006944034,0.009132177
3,1,-0.053649746,0.000075462,0.028678786,0.016372509
3,1,-0.053718612,0.000075822,0.041418862,0.017095933
3,1,-0.053285085,0.000076780,0.032419853,0.010443369
3,1,-0.052673332,0.000078636,0.013913093,0.002535952
3,1,-0.052314889,0.000081541,0.002072912,0.000131946
3,1,-0.052442759,0.000085112,0.000262060,0.004990018
3,1,-0.052943926,0.000088542,0.003396036,0.013948278
3,1,-0.053485531,0.000091025,0.006405272,0.022186302
3,1,-0.053763695,0.000092068,0.007016051,0.026073329
3,1,-0.053668171,0.000091576,0.005141212,0.024422882
3,1,-0.053298403,0.000089805,0.002061682,0.018440144
3,1,-0.052869868,0.000087258,0.000046688,0.010838204
3,1,-0.052576914,0.000084542,0.001577550,0.004477597
3,1,-0.052486900,0.000082184,0.007419305,0.000972530
3,1,-0.052529402,0.000080488,0.014708452,0.000016374
3,1,-0.052579876,0.000079526,0.018241996,0.000083880
3,1,-0.052564502,0.000079243,0.015334627,0.000046734
3,1,-0.052502457,0.000079532,0.008556179,0.000067957
3,1,-0.052463293,0.000080212,0.002645289,0.000913476
3,1,-0.052489176,0.000080998,0.000125185,0.002746748
3,1,-0.052554805,0.000081543,0.000435197,0.004784268
3,1,-0.052594833,0.000081555,0.001679730,0.005910532
3,1,-0.052564770,0.000080902,0.002307266,0.005490375
3,1,-0.052479919,0.000079643,0.001804818,0.003764186
3,1,-0.052403521,0.000077997,0.000687149,0.001671922
3,1,-0.052397478,0.000076261,0.000008218,0.000266994
3,1,-0.052474421,0.000074705,0.000480846,0.000060270
3,1,-0.052588567,0.000073499,0.001709340,0.000720910
3,1,-0.052670613,0.000072699,0.002449423,0.001405445
3,1,-0.052676786,0.000072286,0.001932060,0.001480577
3,1,-0.052613616,0.000072196,0.000723658,0.000974003
3,1,-0.052523296,0.000072332,0.000014822,0.000363207
3,1,-0.052448262,0.000072552,0.000355816,0.000037760
3,1,-0.052406792,0.000072694,0.001309210,0.000015076
3,1,-0.052395202,0.000072625,0.002041822,0.000074484
3,1,-0.052405920,0.000072289,0.002026686,0.000052616
3,1,-0.052439339,0.000071723,0.001338931,0.000000174
3,1,-0.052499246,0.000071033,0.000499126,0.000099200
3,1,-0.052579556,0.000070352,0.000035421,0.000447103
3,1,-0.052658603,0.000069792,0.000068857,0.000913333
3,1,-0.052708700,0.000069423,0.000278963,0.001215230
3,1,-0.052713744,0.000069264,0.000302769,0.001155349
3,1,-0.052679595,0.000069300,0.000122115,0.000789373
3,1,-0.052628823,0.000069475,0.000000160,0.000359831
3,1,-0.052585304,0.000069706,0.000119302,0.000082005
3,1,-0.052561671,0.000069893,0.000386935,0.000000482
3,1,-0.052558079,0.000069951,0.000563834,0.000019983
3,1,-0.052569523,0.000069840,0.000503279,0.000033465
3,1,-0.052592099,0.000069572,0.000266852,0.000013125
3,1,-0.052623495,0.000069204,0.000050764,0.000000641
3,1,-0.052659344,0.000068814,0.000007917,0.000033380
3,1,-0.052691642,0.000068475,0.000120197,0.000091591
3,1,-0.052712027,0.000068235,0.000236622,0.000118717
3,1,-0.052717112,0.000068109,0.000234697,0.000086176
3,1,-0.052710917,0.000068081,0.000130109,0.000026725
3,1,-0.052701630,0.000068108,0.000028386,0.000000090
3,1,-0.052696288,0.000068130,0.000000704,0.000032246
3,1,-0.052697681,0.000068088,0.000027937,0.000093312
3,1,-0.052705105,0.000067942,0.000047794,0.000130438
3,1,-0.052717227,0.000067680,0.000030212,0.000116291
3,1,-0.052733406,0.000067326,0.000002700,0.000067340
3,1,-0.052752882,0.000066923,0.000011656,0.000021242
3,1,-0.052773308,0.000066523,0.000066514,0.000001212
3,1,-0.052790925,0.000066167,0.000125717,0.000001799
3,1,-0.052802708,0.000065876,0.000138794,0.000004630
3,1,-0.052808184,0.000065651,0.000097117,0.000001726
3,1,-0.052809659,0.000065472,0.000038187,0.000000459
3,1,-0.052810531,0.000065306,0.000003774,0.000009086
3,1,-0.052813474,0.000065118,0.000002686,0.000023557
3,1,-0.052819781,0.000064881,0.000013507,0.000031042
3,1,-0.052829776,0.000064585,0.000014534,0.000024262
3,1,-0.052843258,0.000064240,0.000005163,0.000009575
3,1,-0.052859392,0.000063869,0.000000067,0.000000349
3,1,-0.052876346,0.000063501,0.000008127,0.000003635
3,1,-0.052891705,0.000063163,0.000021335,0.000014184
3,1,-0.052903485,0.000062868,0.000025072,0.000021102
3,1,-0.052911192,0.000062619,0.000015524,0.000018793
3,1,-0.052916005,0.000062405,0.000003317,0.000010673
3,1,-0.052920047,0.000062205,0.000000412,0.000003533
3,1,-0.052925222,0.000062000,0.000007277,0.000000493
3,1,-0.052932736,0.000061772,0.000014330,0.000000018
3,1,-0.052942928,0.000061515,0.000013612,0.000000114
3,1,-0.052955434,0.000061234,0.000006573,0.000001446
3,1,-0.052969344,0.000060941,0.000000748,0.000005800
3,1,-0.052983206,0.000060654,0.000000668,0.000012542
3,1,-0.052995674,0.000060386,0.000003797,0.000017936
3,1,-0.053005826,0.000060144,0.000004957,0.000018355
3,1,-0.053013738,0.000059929,0.000002744,0.000013694
3,1,-0.053020298,0.000059731,0.000000279,0.000007260
3,1,-0.053026725,0.000059537,0.000000504,0.000002521
3,1,-0.053034060,0.000059336,0.000002602,0.000000492
3,1,-0.053042836,0.000059118,0.000003577,0.000000063
3,1,-0.053053122,0.000058880,0.000002181,0.000000085
3,1,-0.053064533,0.000058628,0.000000288,0.000000503
3,1,-0.053076394,0.000058370,0.000000364,0.000001635
3,1,-0.053087886,0.000058116,0.000002488,0.000003049
3,1,-0.053098403,0.000057873,0.000004432,0.000003676
3,1,-0.053107668,0.000057644,0.000004304,0.000002951
3,1,-0.053115949,0.000057426,0.000002476,0.000001464
3,1,-0.053123802,0.000057213,0.000000696,0.000000314
3,1,-0.053131849,0.000056997,0.000000022,0.000000001
3,1,-0.053140536,0.000056772,0.000000060,0.000000143
3,1,-0.053150062,0.000056534,0.000000052,0.000000173
3,1,-0.053160317,0.000056284,0.000000024,0.000000027
3,1,-0.053170979,0.000056028,0.000000558,0.000000064
3,1,-0.053181630,0.000055771,0.000001740,0.000000459
3,1,-0.053191841,0.000055520,0.000002789,0.000000932
3,1,-0.053201392,0.000055276,0.000002865,0.000001074
3,1,-0.053210299,0.000055041,0.000001958,0.000000803
3,1,-0.053218815,0.000054810,0.000000827,0.000000395
3,1,-0.053227335,0.000054580,0.000000162,0.000000126
3,1,-0.053236131,0.000054345,0.000000002,0.000000036
3,1,-0.053245388,0.000054105,0.000000004,0.000000041
3,1,-0.053255089,0.000053858,0.000000005,0.000000151
3,1,-0.053265084,0.000053608,0.000000136,0.000000471
3,1,-0.053275093,0.000053358,0.000000482,0.000000994
3,1,-0.053284883,0.000053111,0.000000828,0.000001498
3,1,-0.053294282,0.000052871,0.000000879,0.000001714
3,1,-0.053303272,0.000052636,0.000000597,0.000001563
3,1,-0.053312011,0.000052406,0.000000234,0.000001195
3,1,-0.053320684,0.000052177,0.000000032,0.000000836
3,1,-0.053329520,0.000051947,0.000000001,0.000000622
3,1,-0.053338598,0.000051714,0.000000010,0.000000580
3,1,-0.053347949,0.000051478,0.000000000,0.000000702
3,1,-0.053357430,0.000051241,0.000000040,0.000000960
3,1,-0.053366944,0.000051004,0.000000178,0.000001271
3,1,-0.053376310,0.000050769,0.000000333,0.000001491
3,1,-0.053385422,0.000050538,0.000000380,0.000001504
3,1,-0.053394288,0.000050311,0.000000289,0.000001308
3,1,-0.053402998,0.000050087,0.000000147,0.000001008
3,1,-0.053411704,0.000049863,0.000000049,0.000000735
3,1,-0.053420480,0.000049639,0.000000014,0.000000564
3,1,-0.053429361,0.000049413,0.000000013,0.000000507
3,1,-0.053438354,0.000049186,0.000000040,0.000000545
3,1,-0.053447373,0.000048960,0.000000115,0.000000648
3,1,-0.053456321,0.000048734,0.000000229,0.000000762
3,1,-0.053465135,0.000048512,0.000000322,0.000000826
3,1,-0.053473745,0.000048292,0.000000338,0.000000800
3,1,-0.053482201,0.000048076,0.000000276,0.000000696
3,1,-0.053490542,0.000047862,0.000000183,0.000000560
3,1,-0.053498808,0.000047649,0.000000110,0.000000445
3,1,-0.053507097,0.000047436,0.000000074,0.000000380
3,1,-0.053515419,0.000047223,0.000000071,0.000000370
3,1,-0.053523775,0.000047010,0.000000099,0.000000409
3,1,-0.053532094,0.000046798,0.000000152,0.000000481
3,1,-0.053540364,0.000046587,0.000000211,0.000000556
3,1,-0.053548526,0.000046378,0.000000247,0.000000605
3,1,-0.053556547,0.000046171,0.000000239,0.000000608
3,1,-0.053564478,0.000045967,0.000000193,0.000000570
3,1,-0.053572312,0.000045765,0.000000138,0.000000513
3,1,-0.053580102,0.000045564,0.000000093,0.000000463
3,1,-0.053587880,0.000045363,0.000000070,0.000000439
3,1,-0.053595647,0.000045163,0.000000066,0.000000447
3,1,-0.053603407,0.000044964,0.000000079,0.000000484
3,1,-0.053611141,0.000044766,0.000000102,0.000000537
3,1,-0.053618800,0.000044569,0.000000126,0.000000588
3,1,-0.053626373,0.000044374,0.000000138,0.000000618
3,1,-0.053633872,0.000044181,0.000000132,0.000000619
3,1,-0.053641297,0.000043990,0.000000111,0.000000595
3,1,-0.053648625,0.000043800,0.000000086,0.000000557
3,1,-0.053655937,0.000043611,0.000000066,0.000000522
3,1,-0.053663209,0.000043424,0.000000054,0.000000501
3,1,-0.053670455,0.000043238,0.000000053,0.000000499
3,1,-0.053677674,0.000043052,0.000000060,0.000000513
3,1,-0.053684883,0.000042867,0.000000073,0.000000536
3,1,-0.053692002,0.000042684,0.000000086,0.000000555
3,1,-0.053699065,0.000042502,0.000000093,0.000000563
3,1,-0.053706083,0.000042322,0.000000093,0.000000556
3,1,-0.053713027,0.000042143,0.000000084,0.000000534
3,1,-0.053719927,0.000041965,0.000000072,0.000000505
3,1,-0.053726766,0.000041789,0.000000061,0.000000478
3,1,-0.053733565,0.000041614,0.000000055,0.000000459
3,1,-0.053740345,0.000041439,0.000000055,0.000000451
3,1,-0.053747077,0.000041266,0.000000058,0.000000452
3,1,-0.053753782,0.000041093,0.000000065,0.000000459
3,1,-0.053760439,0.000040922,0.000000073,0.000000467
3,1,-0.053767055,0.000040751,0.000000077,0.000000469
3,1,-0.053773623,0.000040582,0.000000077,0.000000464
3,1,-0.053780131,0.000040414,0.000000073,0.000000452
3,1,-0.053786598,0.000040248,0.000000066,0.000000436
3,1,-0.053793021,0.000040082,0.000000059,0.000000420
3,1,-0.053799406,0.000039917,0.000000054,0.000000410
3,1,-0.053805746,0.000039754,0.000000053,0.000000404
3,1,-0.053812046,0.000039591,0.000000053,0.000000404
3,1,-0.053818330,0.000039429,0.000000056,0.000000408
3,1,-0.053824559,0.000039268,0.000000059,0.000000413
3,1,-0.053830747,0.000039108,0.000000060,0.000000415
3,1,-0.053836901,0.000038949,0.000000059,0.000000415
3,1,-0.053843003,0.000038791,0.000000057,0.000000410
3,1,-0.053849075,0.000038635,0.000000054,0.000000404
3,1,-0.053855091,0.000038479,0.000000049,0.000000396
3,1,-0.053861089,0.000038324,0.000000046,0.000000390
3,1,-0.053867050,0.000038170,0.000000044,0.000000386
3,1,-0.053872965,0.000038017,0.000000042,0.000000384
3,1,-0.053878848,0.000037865,0.000000042,0.000000384
3,1,-0.053884678,0.000037714,0.000000043,0.000000386
3,1,-0.053890493,0.000037564,0.000000044,0.000000388
3,1,-0.053896260,0.000037415,0.000000044,0.000000389
3,1,-0.053902004,0.000037267,0.000000043,0.000000387
3,1,-0.053907692,0.000037119,0.000000041,0.000000383
3,1,-0.053913355,0.000036973,0.000000038,0.000000376
3,1,-0.053918976,0.000036828,0.000000036,0.000000370
3,1,-0.053924572,0.000036683,0.000000034,0.000000365
3,1,-0.053930134,0.000036539,0.000000033,0.000000361
3,1,-0.053935666,0.000036396,0.000000033,0.000000360
3,1,-0.053941160,0.000036254,0.000000033,0.000000360
3,1,-0.053946614,0.000036113,0.000000034,0.000000360
3,1,-0.053952042,0.000035973,0.000000034,0.000000359
3,1,-0.053957436,0.000035834,0.000000033,0.000000356
3,1,-0.053962789,0.000035695,0.000000032,0.000000351
3,1,-0.053968120,0.000035557,0.000000031,0.000000346
3,1,-0.053973414,0.000035421,0.000000029,0.000000341
3,1,-0.053978670,0.000035285,0.000000028,0.000000336
3,1,-0.053983908,0.000035149,0.000000027,0.000000332
3,1,-0.053989112,0.000035015,0.000000027,0.000000330
3,1,-0.053994276,0.000034881,0.000000027,0.000000328
3,1,-0.053999409,0.000034748,0.000000027,0.000000327
3,1,-0.054004528,0.000034616,0.000000027,0.000000325
3,1,-0.054009605,0.000034485,0.000000026,0.000000322
3,1,-0.054014649,0.000034355,0.000000026,0.000000319
3,1,-0.054019663,0.000034225,0.000000025,0.000000316
3,1,-0.054024640,0.000034096,0.000000024,0.000000313
3,1,-0.054029599,0.000033968,0.000000023,0.000000310
3,1,-0.054034535,0.000033840,0.000000022,0.000000307
3,1,-0.054039445,0.000033714,0.000000022,0.000000304
3,1,-0.054044306,0.000033588,0.000000022,0.000000302
3,1,-0.054049145,0.000033462,0.000000021,0.000000301
3,1,-0.054053973,0.000033338,0.000000021,0.000000298
3,1,-0.054058742,0.000033214,0.000000020,0.000000296
3,1,-0.054063514,0.000033091,0.000000020,0.000000294
3,1,-0.054068241,0.000032969,0.000000019,0.000000292
3,1,-0.054072954,0.000032847,0.000000018,0.000000289
3,1,-0.054077633,0.000032726,0.000000018,0.000000287
3,1,-0.054082282,0.000032606,0.000000018,0.000000285
3,1,-0.054086898,0.000032487,0.000000017,0.000000283
3,1,-0.054091502,0.000032368,0.000000017,0.000000282
3,1,-0.054096077,0.000032250,0.000000016,0.000000280
3,1,-0.054100614,0.000032132,0.000000016,0.000000278
3,1,-0.054105140,0.000032015,0.000000015,0.000000276
3,1,-0.054109629,0.000031899,0.000000015,0.000000274
3,1,-0.054114092,0.000031784,0.000000014,0.000000271
3,1,-0.054118544,0.000031669,0.000000014,0.000000268
3,1,-0.054122962,0.000031555,0.000000013,0.000000266
3,1,-0.054127343,0.000031441,0.000000013,0.000000264
3,1,-0.054131716,0.000031328,0.000000013,0.000000263
3,1,-0.054136060,0.000031216,0.000000013,0.000000262
3,1,-0.054140385,0.000031104,0.000000013,0.000000261
3,1,-0.054144681,0.000030993,0.000000013,0.000000259
3,1,-0.054148961,0.000030883,0.000000012,0.000000257
3,1,-0.054153204,0.000030773,0.000000011,0.000000254
3,1,-0.054157425,0.000030664,0.000000011,0.000000250
3,1,-0.054161638,0.000030556,0.000000010,0.000000248
3,1,-0.054165814,0.000030448,0.000000010,0.000000245
3,1,-0.054169971,0.000030341,0.000000009,0.000000243
3,1,-0.054174107,0.000030234,0.000000009,0.000000242
3,1,-0.054178223,0.000030128,0.000000009,0.000000241
3,1,-0.054182317,0.000030022,0.000000009,0.000000240
3,1,-0.054186378,0.000029917,0.000000009,0.000000239
