n,l,energy,fidelity,pde_loss,epochs,time,param_file,wf_file
1,0,-0.5000000596046448,1.0002031326293945,4.97684276012933e-08,19096,14.090253114700317,state_n_1_l_0.pt,wf_n_1_l_0.npy
2,0,-0.12499990314245224,0.9999964825275187,4.999713354436608e-08,84963,66.79560208320618,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,1,-0.12499918043613434,0.9999921048351619,4.999994729359969e-08,55398,44.510761976242065,state_n_2_l_1.pt,wf_n_2_l_1.npy
3,0,-0.05555253475904465,0.9999553322518608,4.9999101747744135e-08,54929,45.31196999549866,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,1,-0.05555083230137825,0.999975053502176,4.999802882821314e-08,21944,18.484402894973755,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,2,-0.05555066093802452,0.9999730833348568,5.800002611522359e-08,799999,612.207099199295,state_n_3_l_2.pt,wf_n_3_l_2.npy
4,0,-0.031221885234117508,0.9992738366127014,1.680691639194265e-07,799999,604.1284170150757,state_n_4_l_0.pt,wf_n_4_l_0.npy
4,1,-0.03123641386628151,0.9998215131305945,7.17218497925387e-08,799999,613.1705379486084,state_n_4_l_1.pt,wf_n_4_l_1.npy
1,0,-0.49999988079071045,1.0002589225769043,4.885169602175665e-08,12827,8.938224077224731,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,-0.5,0.9995667934417725,4.9890761744109113e-08,12767,16.161569118499756,state_n_1_l_0.pt,wf_n_1_l_0.npy
2,0,-0.12500007450580597,0.9999986680760493,4.99999117664629e-08,138493,187.95433902740479,state_n_2_l_0.pt,wf_n_2_l_0.npy
