n,l,g,energy,pde_loss,epochs,time,param_file,wf_file
1,0,0.025,-0.950921893119812,1.029823479825609e-07,20800,16.6316339969635,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509212970733643,9.997634009550893e-08,20600,16.486066818237305,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509214162826538,9.964018232722083e-08,21100,16.24924397468567,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509216547012329,1.1538875810401805e-07,18300,14.102151870727539,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509214758872986,9.959367730516533e-08,20600,15.667573928833008,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509221315383911,1.0809596773242447e-07,20700,16.198461055755615,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509216547012329,1.0054366583744923e-07,21000,15.669907808303833,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509220123291016,1.108484255496478e-07,21300,16.892809867858887,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509220123291016,1.0606889588871127e-07,20700,15.292736053466797,state_n_1_l_0.pt,wf_n_1_l_0.npy
1,0,0.025,-0.9509220719337463,1.1272554445440619e-07,20200,16.229216814041138,state_n_1_l_0.pt,wf_n_1_l_0.npy
