n,l,g,energy,pde_loss,epochs,time,param_file,wf_file
1,0,0.025,-0.950920820236206,9.999681083172618e-08,18008,14.969791889190674,state_n_1_l_0.pt,wf_n_1_l_0.npy
2,0,0.025,-0.20354072749614716,9.999411076933029e-08,25533,22.21150302886963,state_n_2_l_0.pt,wf_n_2_l_0.npy
2,1,0.025,-0.2029731124639511,9.999767058843645e-08,44605,39.01625084877014,state_n_2_l_1.pt,wf_n_2_l_1.npy
3,1,0.025,-0.0681435614824295,9.998674954658782e-08,172834,146.41036701202393,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,2,0.025,-0.06707949936389923,2.9871424089833454e-07,399999,338.10134291648865,state_n_3_l_2.pt,wf_n_3_l_2.npy
3,2,0.025,-0.06710541993379593,1.4374434442743222e-07,499999,399.9256319999695,state_n_3_l_2.pt,wf_n_3_l_2.npy
3,0,0.025,-0.06865878403186798,9.945737389216447e-08,66711,57.01600503921509,state_n_3_l_0.pt,wf_n_3_l_0.npy
3,2,0.025,-0.06711139529943466,1.163903533552002e-07,599999,493.54089283943176,state_n_3_l_2.pt,wf_n_3_l_2.npy
1,0,0.025,-0.9509220719337463,9.999899219792496e-08,19852,27.82298994064331,state_n_1_l_0.pt,wf_n_1_l_0.npy
2,0,0.025,-0.2035394012928009,9.991882166104915e-08,20529,30.025254011154175,state_n_2_l_0.pt,wf_n_2_l_0.npy
3,0,0.025,-0.06866064667701721,9.994366934051868e-08,182892,264.6119747161865,state_n_3_l_0.pt,wf_n_3_l_0.npy
2,1,0.025,-0.20297148823738098,9.999772032642795e-08,33280,46.88275504112244,state_n_2_l_1.pt,wf_n_2_l_1.npy
3,1,0.025,-0.06813541054725647,9.998129968380454e-08,117030,169.81623482704163,state_n_3_l_1.pt,wf_n_3_l_1.npy
3,2,0.025,-0.0671103298664093,1.2847137043081602e-07,599999,865.7786090373993,state_n_3_l_2.pt,wf_n_3_l_2.npy
