n,l,energy,wf_name
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
